Locality,dist_brussels,dist_antwerp,dist_ghent,dist_liege,dist_bruges,dist_namur,dist_leuven,dist_sea
Lille,54.33143316822529,29.44086430388632,79.8708675148165,85.65755547938092,111.43494986357396,85.77631806080205,40.781720289756514,102.3793648143504
Lillois-Witterzée,22.723062018207138,63.8143237713012,64.11855478713036,85.85307228401962,101.39275799528345,41.10889645375397,35.22598069706967,105.86820732488556
Limal,23.64372550222837,59.9194774672168,72.47148240720367,71.07738734816172,110.75998746157389,32.551728889647684,22.68577807666446,112.7980929848404
Limbourg,78.39035340903591,76.86153749617769,121.01022951851144,41.690097942304384,156.81565976679744,71.46425113320527,53.815399612492605,150.55531311640027
Limelette,23.534171994167554,60.52258595883335,71.98211300805535,72.18524571322928,110.21163031320089,32.69798279494696,23.93052257712789,112.49116412238612
Lincent,50.24202583839468,71.62570013083945,99.77230709542678,39.59659926181335,138.1297395854595,29.4083876219129,29.86650847047908,137.15638798505327
Linkebeek,9.147792411459791,50.33308585269206,54.43580447319559,88.0922065488298,92.63305056361588,49.87651389663422,27.745957034322057,95.2516486364387
Linkhout,56.5566915004459,58.551680078018165,99.82085242190703,48.36807431154335,136.29512915066363,58.48211948500728,32.07202103918954,131.1933323259746
Linter,48.45666098198858,62.26564530590509,96.05447454133964,43.76479484204919,133.88825633336472,41.95430484967314,24.554427785804734,131.17664964800488
Lissewege,94.75605704754086,84.48107114661966,45.20508612365739,182.5357177546847,9.724608560651715,149.36387436094046,114.85905417958875,2.5681571045962523
Lixhe,93.95042341961457,103.26013997028984,141.58690078962306,15.345684345252774,179.14555712380536,65.38694730052508,70.20266338244427,175.30071848094744
Lo-Reninge,112.01260397923129,117.88193111343604,67.43402407810012,201.2517883737436,42.17901569731416,158.31051155475498,136.03254470305473,20.47159040742392
Lobbes,55.767327731771886,96.92250878219708,86.09477185483588,99.7944729554144,118.8601246655404,46.61292863557474,66.93965103299375,127.76778048322952
Lodelinsart,47.068149268203925,87.53987590838953,86.80872858425944,81.86871893469647,122.61988619144316,29.081801381671458,52.376562910868806,128.90114806240018
Lokeren,37.95192162215547,31.485117915489752,19.83398647133437,123.2847105255945,54.6216761532191,94.14010481290909,55.65669219240898,52.08586899813768
Lombardsijde,116.44373544511429,114.95472271188926,67.88993910046295,206.1471385063344,33.279378370437875,166.8297998320626,139.22233172025497,2.5779450768781684
Lombise,40.13158585652528,76.05456541520263,52.79402685836858,115.7535345369014,84.2185024706533,67.52724771017415,61.87119168805835,93.7218583308816
Lommel,79.08999220111392,63.04684537006229,112.65774804159612,69.16924179795703,145.08424141497446,90.20637328184915,57.63922347150002,135.85838167554155
Lomprez,102.5172142839481,138.09390985555768,147.22325485312192,73.13527811852519,183.5224218274068,48.25567970815648,95.62587579721767,189.1521635995201
Loncin,83.0543273378454,98.23046831555374,132.07740676671372,6.999272782847537,170.21079817887852,49.34726162717089,60.76544184263197,167.93744428122386
Londerzeel,17.225875955615795,25.14293443953476,41.34910406902522,98.66554359998726,78.71644345368722,71.6886978795062,31.007258371252966,76.64254595587651
Longchamps,48.90160238718687,79.35128563496153,98.3448401369686,48.62454275063386,136.68169190253033,12.339835764396724,36.34884386216479,138.23294901630314
Longlier,135.68482250438285,169.02496457329556,181.60241244753564,86.74159759973199,218.19629850940103,79.86750487544172,125.94633965952995,223.3826125046576
Longueville,32.52625049281841,62.43829521036438,82.38848189160541,58.924679044807554,120.84135407654192,27.50575353952283,20.02678935139491,121.52770142570428
Lontzen,117.95181210777169,127.3859683307712,165.9739173038512,30.603268226587527,203.6047235763176,83.5995597948577,94.50714462656796,199.7295775198653
Lonzée,42.14118950867792,77.5103679719019,89.94313895887747,61.320548404498695,127.88709116000516,14.24323158280819,36.498540429821794,130.87263796581246
Loonbeek,18.54876644534245,48.027822060409285,68.12209572057793,71.1869253447557,106.5377731912068,42.14115620775561,10.430203633395893,106.44590528366352
Loppem,88.00237733405048,85.55497592648175,38.613385574500725,177.42792064789228,8.248177614343772,140.3716306680601,110.1357978386222,18.083615981101467
Lot,10.96034789332048,51.47045734856515,50.9816193827245,92.75039666159658,88.92699920970279,53.20588820927521,32.326984374095794,92.27497271251652
Louvain-La-Neuve,26.904983603328017,62.419057593095495,75.79806991719332,68.24956749609365,114.07964017730096,29.331206028656435,23.67458189307882,116.10986745500315
Louveigné,102.77993503463055,120.31268774208468,152.4018426765183,15.424542044086998,190.74883668820345,60.135809655543184,81.76195966588806,189.2646077101481
